,name,fullname,isalive,group,centrality,hits,pagerank
64,jaspers,Jasper Sitwell,deceased,human,0.06077348066298342,0.01037265146356929,0.005521875979679301
65,malekith,Malekith,deceased,dark elf,0.08839779005524862,0.010605193059654109,0.006667737315788938
66,algrim,Algrim,deceased,dark elf,0.07734806629834254,0.0098171266106666,0.00584661573702156
67,darkelf,Dark Elf Soldier,deceased,dark elf,0.08839779005524862,0.01060519305965411,0.006667737315788938
68,asgardian,Asgardian Soldier,deceased,asgardian,0.08839779005524862,0.010581565789191132,0.006652823607886378
69,bor,Bor,deceased,asgardian,0.03867403314917127,0.005143472379745998,0.0033085894738036376
70,hela,Hela,unknown,asgardian,0.08287292817679558,0.009999499609389515,0.006663865529704578
71,valk,Valkyrie,alive,asgardian,0.049723756906077346,0.006390821251954597,0.0045425153659143565
72,skurge,Skurge,deceased,asgardian,0.04419889502762431,0.006654280560495445,0.0036872851741629113
73,korg,Korg,alive,kronan,0.04419889502762431,0.005156392379889744,0.004162757462118331
74,miek,Miek,alive,sakaaran,0.04419889502762431,0.005156392379889744,0.004162757462118331
75,grandm,The Grandmaster,alive,unknown,0.04419889502762431,0.005553399558158407,0.004246732709197899
76,topaz,Topaz,deceased,sakaaran,0.03314917127071823,0.004234274873627971,0.003352908740182648
77,surtur,Surtur,alive,fire demon,0.055248618784530384,0.007632128681711849,0.0047025881425694005
78,fenris,Fenris Wolf,deceased,asgardian,0.022099447513812154,0.004860393156241719,0.0023324182640890724
79,bucky,Bucky Barnes,alive,human,0.16574585635359115,0.02216756258186269,0.014060103088484177
80,dumdum,Dum Dum Dugan,deceased,human,0.04419889502762431,0.00451916904495687,0.00436132421841774
81,gabej,Gabe Jones,deceased,human,0.04419889502762431,0.00451916904495687,0.00436132421841774
82,jimm,Jim Morita,deceased,human,0.04419889502762431,0.00451916904495687,0.00436132421841774
83,jamesm,James Montgomery Falsworth,deceased,human,0.04419889502762431,0.00451916904495687,0.00436132421841774
84,chesterp,Chester Phillips,deceased,human,0.055248618784530384,0.004987400424844993,0.005344028378114821
85,abrahame,Abraham Erskine,deceased,human,0.027624309392265192,0.0028826647493711503,0.0030310449539517922
86,johanns,Johann Schmidt,unknown,human,0.055248618784530384,0.004987400424844993,0.005344028378114821
87,arnimz,Arnim Zola,deceased,human,0.04419889502762431,0.006070295789785596,0.004313161929426799
88,alexanderp,Alexander Pierce,deceased,human,0.055248618784530384,0.008860451818584617,0.005025404150617265
89,brockr,Brock Rumlow,deceased,human,0.04419889502762431,0.007226213977636637,0.004228692755224485
90,jackr,Jack Rollins,alive,human,0.03314917127071823,0.004916916895318742,0.003417284850626311
91,sharonc,Sharon Carter,alive,human,0.055248618784530384,0.007955965341242096,0.005019787627568042
92,georgesb,Georges Batroc,alive,human,0.027624309392265192,0.004579914035723369,0.002969442633861418
93,tchalla,T'Challa,alive,human,0.15469613259668508,0.018424789786707696,0.012229514398074232
94,tchaka,T'Chaka (Old),deceased,human,0.08287292817679558,0.005121362495824867,0.0068086580324685534
95,everettr,Everett Ross,alive,human,0.07734806629834254,0.008792461039461578,0.006359845927464662
96,helmutz,Helmut Zemo,alive,human,0.06629834254143646,0.014836657015584218,0.005673475710458674
97,chitauri,Chitauri Footsoldier,deceased,chitauri,0.049723756906077346,0.010986904652947284,0.004691631678476391
98,other,The Other,deceased,unknown,0.022099447513812154,0.0020502866868311207,0.0025717855731768624
99,ironl,Iron Legion,deceased,machine,0.0055248618784530384,0.0016607242581750466,0.00130574080166319
100,thanos,Thanos,alive,titan,0.06629834254143646,0.002148601278016973,0.007409238349099458
101,peterq,Peter Quill,alive,human,0.09944751381215469,0.00030309234738554896,0.008743849923998346
